Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Song for Dallas Girls and Boys,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Song for Houston Girls and Boys,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Songbird,,,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
South Korea Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sparks,,,0,1,66,81,81,81,85,85,95,95,95,95,95,95,95,95,96,96,96,98,99,100
Speed of Sound,,,0,0,0,0,0,0,105,155,166,242,259,259,260,316,316,316,316,318,318,318,318,318
Spies,,,0,2,98,158,215,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
Square One,,,0,0,0,0,0,0,102,154,165,173,173,173,173,173,173,173,173,173,173,173,173,174
Stay Another Day,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Stayin' Alive,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Stockholm,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stop Me If You Think You've Heard This One Before,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Strawberry Swing,,,0,0,0,0,0,0,0,0,0,78,161,170,170,171,171,171,171,172,172,172,172,172
Streets of Baltimore,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streets of Philadelphia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Such a Rush,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Sunrise,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
Suzanne,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Svefn-g-englar,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swallowed in the Sea,,,0,0,0,0,0,0,70,119,125,125,125,125,125,125,125,125,125,126,126,126,126,126
Sweet Marianne,,,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sydney in the Rain,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Taiwan Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Talk,,,0,0,0,0,0,0,77,131,142,143,143,143,143,143,143,143,143,143,143,143,143,143
Temperature's Rising,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
The Bare Necessities,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dubliners,,,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
The Hardest Part,,,0,0,0,0,0,0,8,11,11,17,17,17,18,18,18,18,18,21,21,21,21,21
The Hardest Part / Postcards From Far Away,,,0,0,0,0,0,0,0,0,0,55,134,142,142,142,142,142,142,142,142,142,142,142
The Living Daylights,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Scientist,,,0,0,0,0,78,173,271,321,332,411,493,503,548,618,620,629,629,694,751,752,753,760
Three Little Birds,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Til Kingdom Come,,,0,0,0,0,0,0,100,151,159,159,163,165,170,170,170,178,179,201,210,210,210,210
To Love Somebody,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Toronto Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
